"Survival","Log_size","Species"
1,5.375278408,"CB"
1,5.472270674,"CB"
1,6.879355804,"CB"
1,5.310739887,"CB"
1,4.985317486,"CB"
1,4.916324615,"CB"
1,5.49614311,"CB"
1,4.007333185,"CB"
1,4.412798293,"CB"
1,3.912023005,"CB"
1,6.674561392,"CB"
1,6.80516869,"CB"
1,4.094344562,"CB"
1,4.094344562,"CB"
1,7.140651122,"CB"
1,6.782192056,"CB"
1,5.752572639,"CB"
1,4.435271149,"CB"
1,2.910991045,"CB"
1,6.183117431,"CB"
0,4.189654742,"CB"
1,5.059425458,"CB"
1,6.697034248,"CB"
1,4.635941845,"CB"
1,5.192956851,"CB"
1,6.182084907,"CB"
1,4.682131227,"CB"
1,3.465735903,"CB"
1,5.480638923,"CB"
1,5.66296048,"CB"
1,5.298317367,"CB"
1,4.818263401,"CB"
1,6.003887067,"CB"
1,3.17805383,"CB"
1,6.761572769,"CB"
1,2.351375257,"CB"
1,5.991464547,"CB"
1,4.762173935,"CB"
1,5.834810737,"CB"
1,3.80666249,"CB"
1,4.959342,"CB"
1,5.049856007,"CB"
1,6.358708442,"CB"
1,4.49980967,"CB"
1,5.952593773,"CB"
1,5.480638923,"CB"
0,4.882801923,"CB"
1,5.395897695,"CB"
1,3.988984047,"CB"
1,3.267665989,"CB"
1,4.143134726,"CB"
1,6.628041376,"CB"
1,4.762173935,"CB"
1,6.510258341,"CB"
1,4.317488114,"CB"
1,5.790724405,"CB"
1,2.910991045,"CB"
1,5.184588601,"CB"
1,5.318119994,"CB"
1,5.010635294,"CB"
0,4.317488114,"CB"
1,5.583496309,"CB"
1,4.836281907,"CB"
1,4.852030264,"CB"
1,3.688879454,"CB"
1,6.214608098,"CB"
1,5.953243334,"CB"
1,6.173786104,"CB"
1,7.118826249,"CB"
1,6.674561392,"CB"
1,5.199187401,"CB"
1,7.965545573,"CB"
1,7.731930722,"CB"
1,6.23234978,"CB"
0,7.824046011,"CB"
1,7.567862605,"CB"
1,7.92732436,"CB"
1,6.234410726,"CB"
1,7.598399329,"CB"
1,6.068425588,"CB"
1,6.915723449,"CB"
1,9.047520221,"CB"
1,7.719684996,"CB"
1,7.23417718,"CB"
1,7.718685495,"CB"
1,7.544332108,"CB"
1,6.527957918,"CB"
1,7.114769448,"CB"
1,8.546363569,"CB"
1,6.97634807,"CB"
1,7.109879463,"CB"
1,5.934894196,"CB"
0,5.985655206,"CB"
1,8.707482918,"CB"
1,7.203405521,"CB"
0,2.128231706,"CB"
1,8.049292949,"CB"
1,6.915723449,"CB"
1,8.462322981,"CB"
1,5.478135793,"CB"
1,7.37117478,"CB"
1,6.608000625,"CB"
1,6.547502514,"CB"
1,5.241747015,"CB"
1,6.797940413,"CB"
1,5.97126184,"CB"
1,6.594755399,"CB"
1,8.044731504,"CB"
1,6.585481762,"CB"
1,7.633563242,"CB"
1,6.29156914,"CB"
1,10.15781965,"CB"
1,8.342839804,"CB"
1,7.060905458,"CB"
1,9.583282288,"CB"
1,6.234410726,"CB"
1,2.890371758,"CB"
1,7.754138435,"CB"
1,7.473551926,"CB"
1,7.103322063,"CB"
1,6.386879319,"CB"
1,7.243407179,"CB"
1,7.960279998,"CB"
1,5.66296048,"CB"
1,6.705198361,"CB"
1,6.583707933,"CB"
1,5.605802066,"CB"
1,7.859413155,"CB"
1,7.026879637,"CB"
1,8.496990484,"CB"
1,7.051855623,"CB"
1,7.584773078,"CB"
1,6.297799689,"CB"
1,3.855452654,"CB"
1,6.381181298,"CB"
1,5.647212123,"CB"
1,3.518980417,"CB"
0,3.781344682,"CB"
1,6.1828594,"CB"
1,5.521460918,"CB"
1,6.303076746,"CB"
0,4.430816799,"CB"
1,6.068425588,"CB"
1,5.43590303,"CB"
1,8.08147504,"CB"
1,6.309918278,"CB"
1,5.598421959,"CB"
0,4.471638793,"CB"
1,4.276666119,"CB"
1,6.257667588,"CB"
1,4.842216642,"CB"
0,4.189654742,"CB"
1,5.780743516,"CB"
1,6.65929392,"CB"
1,5.493061443,"CB"
1,6.722930592,"CB"
0,6.153264468,"CB"
1,7.36486362,"CB"
1,6.29156914,"CB"
1,6.98471632,"CB"
1,6.376726948,"CB"
1,5.545177444,"CB"
1,5.529429088,"CB"
1,3.96081317,"CB"
1,5.241747015,"CB"
1,3.80666249,"CB"
0,4.248495242,"CB"
0,6.741700695,"CB"
1,8.656824691,"CB"
1,6.099197247,"CB"
1,6.061456919,"CB"
0,5.997695097,"CB"
1,4.223177434,"CB"
1,6.581851994,"CB"
1,7.167037877,"CB"
1,2.890371758,"CB"
1,5.247024072,"CB"
1,6.394426525,"CB"
1,6.057954288,"CB"
1,5.97126184,"CB"
1,5.375278408,"CB"
0,5.141663557,"CB"
1,7.021083964,"CB"
1,7.007600614,"CB"
1,4.836281907,"CB"
1,6.194405391,"CB"
1,4.430816799,"CB"
1,5.342334252,"CB"
1,3.988984047,"CB"
1,6.98471632,"CB"
1,4.430816799,"CB"
1,3.295836866,"CB"
1,6.739336627,"CB"
1,6.340359304,"CB"
1,6.353935164,"CB"
1,7.326465614,"CB"
1,5.529429088,"CB"
1,3.555348061,"CB"
1,5.529429088,"CB"
1,7.512890582,"CB"
1,6.269096284,"CB"
1,5.598421959,"CB"
1,7.248681866,"CB"
1,6.011267174,"CB"
1,6.587550015,"CB"
1,5.398162702,"CB"
1,7.138867,"CB"
1,6.572282543,"CB"
1,6.358708442,"CB"
1,6.207331689,"CB"
1,5.071259916,"CB"
1,5.940171253,"CB"
1,6.207331689,"CB"
1,3.624340933,"CB"
1,6.12249281,"CB"
1,0.916290732,"CB"
1,8.076359939,"CB"
1,6.684611728,"CB"
1,6.086774727,"CB"
1,4.787491743,"CB"
1,6.29156914,"CB"
1,8.874867636,"CB"
1,6.739336627,"CB"
1,6.989335266,"CB"
1,5.43590303,"CB"
1,7.102499356,"CB"
1,6.313548046,"CB"
1,3.295836866,"CB"
1,7.033506484,"CB"
1,6.516193076,"CB"
1,4.343805422,"CB"
1,7.278628942,"CB"
1,5.049856007,"CB"
0,4.094344562,"CB"
1,6.186208624,"CB"
1,7.965545573,"CB"
1,7.566957803,"CB"
1,6.327936784,"CB"
1,7.413065722,"CB"
1,6.135564891,"CB"
0,4.094344562,"CB"
1,7.104965448,"CB"
1,3.449987546,"CB"
0,6.086774727,"CB"
1,5.192956851,"CB"
1,5.730099783,"CB"
1,4.836281907,"CB"
1,4.17438727,"CB"
1,6.97634807,"CB"
1,7.590852124,"CB"
1,6.579251212,"CB"
1,2.351375257,"CB"
0,4.056123349,"CB"
1,6.040254711,"CB"
1,5.570251082,"CB"
1,6.733401892,"CB"
1,5.723585102,"CB"
1,7.104965448,"CB"
1,6.204557763,"CB"
1,6.620073207,"CB"
1,6.358708442,"CB"
1,5.123963979,"CB"
1,6.572282543,"CB"
1,4.722953222,"CB"
1,5.66296048,"CB"
1,6.327936784,"CB"
1,3.784189634,"CB"
1,5.570251082,"CB"
1,6.345636361,"CB"
1,5.647212123,"CB"
1,1.32175584,"CB"
1,3.719651113,"CB"
1,5.780743516,"CB"
1,7.428333194,"CB"
1,6.828712072,"CB"
1,5.472270674,"CB"
1,7.908387159,"CB"
1,6.792624972,"CB"
1,3.314186005,"CB"
1,7.785305183,"CB"
1,7.051855623,"CB"
1,6.620073207,"CB"
1,5.416100402,"CB"
1,6.302618976,"CB"
1,7.774855767,"CB"
1,7.102499356,"CB"
0,5.407732153,"CB"
1,3.96081317,"CB"
1,7.738488122,"CB"
1,7.470224136,"CB"
1,5.823045895,"CB"
1,6.632001777,"CB"
1,6.822197391,"CB"
1,7.875689244,"CB"
1,8.48467,"CB"
1,7.179688994,"CB"
1,5.521460918,"CB"
1,5.906723319,"CB"
0,5.204006687,"CB"
1,4.471638793,"CB"
1,5.364807108,"CB"
1,5.33753808,"CB"
1,6.388897484,"CB"
1,5.480638923,"CB"
1,6.473890696,"CB"
1,7.413065722,"CB"
1,5.204006687,"CB"
1,7.958576904,"CB"
1,7.246011637,"CB"
1,4.718498871,"CB"
1,6.386879319,"CB"
1,5.886104031,"CB"
1,6.761572769,"CB"
1,5.743003188,"CB"
1,5.455321115,"CB"
1,7.367708572,"CB"
1,7.390181428,"CB"
1,3.871201011,"CB"
1,7.086946943,"CB"
1,6.715383386,"CB"
1,5.991464547,"CB"
1,6.827087376,"CB"
1,7.640123173,"CB"
1,7.539558829,"CB"
1,8.472457298,"CB"
1,6.12905021,"CB"
1,5.501258211,"CB"
1,5.66296048,"CB"
1,7.344072851,"CB"
1,5.703782475,"CB"
1,5.940171253,"CB"
1,5.541263545,"CB"
1,6.253347927,"CB"
1,5.66296048,"CB"
1,5.639243954,"CB"
1,6.206827911,"CB"
1,5.464890566,"CB"
1,7.625595072,"CB"
1,5.66296048,"CB"
1,5.204006687,"CB"
1,6.97634807,"CB"
1,4.102643365,"CB"
1,6.476972363,"CB"
1,6.263160139,"CB"
1,5.768320996,"CB"
1,6.840546529,"CB"
1,5.418874329,"CB"
0,5.834810737,"CB"
1,6.340359304,"CB"
1,5.030437921,"CB"
1,2.48490665,"CB"
1,7.426549072,"CB"
1,7.213179033,"CB"
1,5.213576138,"CB"
1,6.915723449,"CB"
1,4.675162558,"CB"
0,8.787525626,"CB"
1,5.182485551,"CB"
1,5.723585102,"CB"
1,5.000584958,"CB"
1,5.703782475,"CB"
1,3.871201011,"CB"
1,5.619041246,"CB"
1,5.375278408,"CB"
0,3.80666249,"CB"
1,6.269096284,"CB"
1,5.66296048,"CB"
1,3.988984047,"CB"
1,4.189654742,"CB"
1,5.65248918,"CB"
1,4.787491743,"CB"
0,3.218875825,"CB"
1,7.207859871,"CB"
1,5.12841833,"CB"
0,4.742755849,"CB"
1,4.836281907,"CB"
1,4.189654742,"CB"
1,5.780743516,"CB"
0,4.029806041,"CB"
1,5.123963979,"CB"
1,5.049856007,"CB"
1,5.429345629,"CB"
