"Survival","Log_size","Species"
1,3.604138226,"LE"
1,5.730099783,"LE"
1,5.123963979,"LE"
1,5.966146739,"LE"
1,5.097577224,"LE"
1,7.551712215,"LE"
1,6.761572769,"LE"
1,5.059425458,"LE"
1,7.246011637,"LE"
1,6.628041376,"LE"
1,6.547502514,"LE"
1,6.536691598,"LE"
1,7.582483874,"LE"
1,5.533883438,"LE"
0,4.74927053,"LE"
0,1.609437912,"LE"
1,4.799914263,"LE"
1,6.608000625,"LE"
1,5.075173815,"LE"
1,5.11349268,"LE"
1,3.162305473,"LE"
0,4.882801923,"LE"
1,5.480638923,"LE"
0,5.480638923,"LE"
1,6.040254711,"LE"
1,5.533883438,"LE"
1,6.327936784,"LE"
1,4.094344562,"LE"
0,4.861748513,"LE"
1,5.75827066,"LE"
1,-0.287682072,"LE"
1,6.197716231,"LE"
1,7.279318835,"LE"
1,4.700480366,"LE"
1,5.988961417,"LE"
1,7.268484493,"LE"
1,6.708084084,"LE"
0,1.791759469,"LE"
1,4.040855877,"LE"
1,7.726653665,"LE"
1,7.015487979,"LE"
1,4.890349128,"LE"
0,4.890349128,"LE"
1,5.241747015,"LE"
1,6.599870499,"LE"
1,2.862200881,"LE"
1,6.109247583,"LE"
0,2.772588722,"LE"
0,6.194405391,"LE"
1,6.061456919,"LE"
1,6.996223927,"LE"
1,7.333023014,"LE"
1,4.644390899,"LE"
1,6.445719819,"LE"
1,4.366278278,"LE"
1,7.024760234,"LE"
1,3.912023005,"LE"
1,0.117783036,"LE"
0,4.49980967,"LE"
1,5.716204995,"LE"
0,6.445719819,"LE"
1,4.366278278,"LE"
1,7.426549072,"LE"
1,5.448352446,"LE"
1,5.81711116,"LE"
1,3.80666249,"LE"
1,6.492239835,"LE"
1,6.668863371,"LE"
1,5.541263545,"LE"
1,7.849713758,"LE"
1,6.715383386,"LE"
1,7.081708586,"LE"
1,4.584967479,"LE"
1,1.727220948,"LE"
1,7.218909708,"LE"
0,6.697034248,"LE"
1,6.148468296,"LE"
1,5.059425458,"LE"
1,2.910991045,"LE"
1,8.311091106,"LE"
1,5.257495372,"LE"
1,8.037220031,"LE"
0,5.50411128,"LE"
1,5.634789603,"LE"
0,9.349101814,"LE"
1,5.429345629,"LE"
0,4.276666119,"LE"
0,5.875632732,"LE"
0,4.905274778,"LE"
1,5.347107531,"LE"
0,6.371611847,"LE"
0,5.946728653,"LE"
1,6.451654555,"LE"
1,6.908754779,"LE"
1,7.079605536,"LE"
1,7.633127607,"LE"
1,6.777076955,"LE"
1,5.598421959,"LE"
1,4.350277936,"LE"
1,7.051855623,"LE"
